file,folder,filename,condition,turns_short,alpha,severity_level,width,height,mode,sha256
Dataset\IR_trans_bmp\p1_Noload\p1001.bmp,p1_Noload,p1001.bmp,Healthy,0,0.0,0,320,240,RGB,58f27d307e5e28f038f75d47a28528409021f6ce0103395399370a2057938778
Dataset\IR_trans_bmp\p1_Noload\p1002.bmp,p1_Noload,p1002.bmp,Healthy,0,0.0,0,320,240,RGB,f885527a57548cb28fa85cae9f77dce1fafc204d96b9af69f15981804bf11186
Dataset\IR_trans_bmp\p1_Noload\p1003.bmp,p1_Noload,p1003.bmp,Healthy,0,0.0,0,320,240,RGB,dad65b1160d08b161543a60d2ee1aded4ad5b5d6ab8d5456bd05d25fe858f8e3
Dataset\IR_trans_bmp\p1_Noload\p1004.bmp,p1_Noload,p1004.bmp,Healthy,0,0.0,0,320,240,RGB,858b83aeaeff1c92b70cf420f5d54cff6618613f88e3bfb8bc43ab05812f7df5
Dataset\IR_trans_bmp\p1_Noload\p1005.bmp,p1_Noload,p1005.bmp,Healthy,0,0.0,0,320,240,RGB,eec8dca1b26e806164c42cee1d69b219c986e489dbfc0602c914fb62de799827
Dataset\IR_trans_bmp\p1_Noload\p1006.bmp,p1_Noload,p1006.bmp,Healthy,0,0.0,0,320,240,RGB,224f60c41563f15087fee7177fdbd601265c5ba4de26dda5e3e220c15bc537cf
Dataset\IR_trans_bmp\p1_Noload\p1007.bmp,p1_Noload,p1007.bmp,Healthy,0,0.0,0,320,240,RGB,697e6c3f342c955c9ccbe7649f18cc28934dfadfd8581a54f765d88200695dfc
Dataset\IR_trans_bmp\p1_Noload\p1008.bmp,p1_Noload,p1008.bmp,Healthy,0,0.0,0,320,240,RGB,ac03e057351501de9fc7b235c9cd5a673e47c8defed8c7a057d671f7f2afa499
Dataset\IR_trans_bmp\p1_Noload\p1009.bmp,p1_Noload,p1009.bmp,Healthy,0,0.0,0,320,240,RGB,e07e91b4133d2620602b0a7b09e06912f027647ed006e6a4aa67bd7a4a388930
Dataset\IR_trans_bmp\p1_Noload\p1010.bmp,p1_Noload,p1010.bmp,Healthy,0,0.0,0,320,240,RGB,a6ea0b4f7f0f961523a13d00446d878732c9967c40f56a5ee6e017915255c239
Dataset\IR_trans_bmp\p1_Noload\p1011.bmp,p1_Noload,p1011.bmp,Healthy,0,0.0,0,320,240,RGB,cbfcb6f6c9cc29df4cc9a7b300f6b0ec7b837c1b36376c6084158ca322685779
Dataset\IR_trans_bmp\p1_Noload\p1012.bmp,p1_Noload,p1012.bmp,Healthy,0,0.0,0,320,240,RGB,f5dd5b31569666cb2149abcc08838526dafec2f928cd548869e1c1fa33024273
Dataset\IR_trans_bmp\p1_Noload\p1013.bmp,p1_Noload,p1013.bmp,Healthy,0,0.0,0,320,240,RGB,ebf8c9d66f334aeed1b2f305542277121e102dcf8c5a660f16f6439c091a5315
Dataset\IR_trans_bmp\p1_Noload\p1014.bmp,p1_Noload,p1014.bmp,Healthy,0,0.0,0,320,240,RGB,adce5d21d2265705f4c11dc55c815ff9073e633105eedb18375e16fe97b867a1
Dataset\IR_trans_bmp\p1_Noload\p1015.bmp,p1_Noload,p1015.bmp,Healthy,0,0.0,0,320,240,RGB,9ad1825a44ed6d8696782307dd4a02d2b5d51696a8385a0c5c637b5e5664cf10
Dataset\IR_trans_bmp\p1_Noload\p1016.bmp,p1_Noload,p1016.bmp,Healthy,0,0.0,0,320,240,RGB,e87eb041b0d885599f83a3b435b150afc7bedfa5d137b8b202b06d33360a6e65
Dataset\IR_trans_bmp\p1_Noload\p1017.bmp,p1_Noload,p1017.bmp,Healthy,0,0.0,0,320,240,RGB,9ca6770e988d8b8765e16963ffef2303841229edd7b7d495613bc4055737775f
Dataset\IR_trans_bmp\p1_Noload\p1018.bmp,p1_Noload,p1018.bmp,Healthy,0,0.0,0,320,240,RGB,c2fcb38ed7e3765d57646c15e57a171397bc69e45ff91eb69c7b6e5877127112
Dataset\IR_trans_bmp\p1_Noload\p1019.bmp,p1_Noload,p1019.bmp,Healthy,0,0.0,0,320,240,RGB,a954cb5c0a8ded7c3de3221b9c5e83468ec828d25b051981873c8ed37c4ba732
Dataset\IR_trans_bmp\p1_Noload\p1020.bmp,p1_Noload,p1020.bmp,Healthy,0,0.0,0,320,240,RGB,eb79fa66c33c514e84b095ed5ff489e4c319f36c657e400e1f675f1380f7e434
Dataset\IR_trans_bmp\p1_Noload\p1021.bmp,p1_Noload,p1021.bmp,Healthy,0,0.0,0,320,240,RGB,68581c1876807a87affbca05210a0277525772ea4558fb9485fb44a059041183
Dataset\IR_trans_bmp\p1_Noload\p1022.bmp,p1_Noload,p1022.bmp,Healthy,0,0.0,0,320,240,RGB,eef020d2bf21502c08b87446b3176d44acb110208e3bf20f42332f68fe121cab
Dataset\IR_trans_bmp\p2_80\p2001.bmp,p2_80,p2001.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,8668445c0e0de951dfebf0d1cdf634be053b39fe8c92e6fd49b9ae74a95c3867
Dataset\IR_trans_bmp\p2_80\p2002.bmp,p2_80,p2002.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,ab03e34602da0754337c2ce7979ca498fcf3db869d30af09eedd40d583463203
Dataset\IR_trans_bmp\p2_80\p2003.bmp,p2_80,p2003.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,bfc00b0b9d34f3ca0047c0cfdb400832da7ac26ed4aa63190532f4c48ad6e762
Dataset\IR_trans_bmp\p2_80\p2004.bmp,p2_80,p2004.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,b892e986a87455515760366d40941c29f9b1a8a7e38105a5cc080ac234a3b7b4
Dataset\IR_trans_bmp\p2_80\p2005.bmp,p2_80,p2005.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,e6d083fa862e7e3c63732cb673bd9b9484f2904eb7fdd8b1f872ec9389f96e79
Dataset\IR_trans_bmp\p2_80\p2006.bmp,p2_80,p2006.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,8b4103d2a0516075fab0cd1e96b4bf5f907363874c81642b61f63ebc7bf20c16
Dataset\IR_trans_bmp\p2_80\p2007.bmp,p2_80,p2007.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,2e06bb8ed46f0d507e4295d0c21a203ebb11a702038e18ef50a68911acd89aa6
Dataset\IR_trans_bmp\p2_80\p2008.bmp,p2_80,p2008.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,85afabf96b40b0985fa332f7d5471ac5ec037950d99527eff72ab72b40e9bc4d
Dataset\IR_trans_bmp\p2_80\p2009.bmp,p2_80,p2009.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,f633870b61c12ec9f9f3b184c8a2285868500bcb218783b4b18c2cc3b258ee9a
Dataset\IR_trans_bmp\p2_80\p2010.bmp,p2_80,p2010.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,e26c239e7971c88b1b9529f30edab674769d6b31f2467e31fbf194b1372fc2ed
Dataset\IR_trans_bmp\p2_80\p2011.bmp,p2_80,p2011.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,62e4961028244e0bd1f25971966f9f1a7e65064d6ac87407d7b8513bec368881
Dataset\IR_trans_bmp\p2_80\p2012.bmp,p2_80,p2012.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,e82e1c2135c3f064d37b2a970250d1f37bc9e84e78a44c4e1f1e56c6fbc02273
Dataset\IR_trans_bmp\p2_80\p2013.bmp,p2_80,p2013.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,d018f10471b8fd6ce49f014b41d0c1ab600b5afa56c4262a7256d3d865f4b9c5
Dataset\IR_trans_bmp\p2_80\p2014.bmp,p2_80,p2014.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,edc6008f8cb207ffba63252e157c106e7213178a14605a8b0b2d5bce96c8eabd
Dataset\IR_trans_bmp\p2_80\p2015.bmp,p2_80,p2015.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,8161b6ea79cf5b638f70aff997ed60a8956d5a6a0b00550c4af371e9732e8f84
Dataset\IR_trans_bmp\p2_80\p2016.bmp,p2_80,p2016.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,7cda4116b093517995f3685a91c0e1e8d24fa8acd33f22766135c11a0e182347
Dataset\IR_trans_bmp\p2_80\p2017.bmp,p2_80,p2017.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,12b3b49bffcf0cbcea75666eb1e627675ef837281a442e7290aac81c73af83a9
Dataset\IR_trans_bmp\p2_80\p2018.bmp,p2_80,p2018.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,4c7e6fbbc3666b3d5791166fd1060f58d5b2604242205aa3aab89508d6a658b9
Dataset\IR_trans_bmp\p2_80\p2019.bmp,p2_80,p2019.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,295a82ea72720532e07fe8b70833ce70511ee2dbb0a8e379d432674317a7b53a
Dataset\IR_trans_bmp\p2_80\p2020.bmp,p2_80,p2020.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,0f0e5f236400f3d9124c109861a61d08eaf2258bd6acb64adb142dec84797dcd
Dataset\IR_trans_bmp\p2_80\p2021.bmp,p2_80,p2021.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,2d5cca377344814d78d4ac3e488f4eb3f6f89a7a9136961b315cdc02e737b10a
Dataset\IR_trans_bmp\p2_80\p2022.bmp,p2_80,p2022.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,f0890e69f087fdb9bcf26a5a1c3527265a8913a8f7480e9c6fecb1354fc73a28
Dataset\IR_trans_bmp\p2_80\p2023.bmp,p2_80,p2023.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,32732f6c49c9450825fc073fe5d96e069d3b7dfc681c3135dc165149758ba452
Dataset\IR_trans_bmp\p2_80\p2024.bmp,p2_80,p2024.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,9b05c2cf48bdd05c1962b6745b6e1b11eef32b927453a1dbab2f8da700416c88
Dataset\IR_trans_bmp\p2_80\p2025.bmp,p2_80,p2025.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,2987d28a4392e8281deaad01a8148c5dca89415d1b9742ba77294e08030aabc8
Dataset\IR_trans_bmp\p2_80\p2026.bmp,p2_80,p2026.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,4bfd54cd072713dde0874e324e0dc41239adeec0a4d8ab7845e173109afbef72
Dataset\IR_trans_bmp\p3_160\p3027.bmp,p3_160,p3027.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,362ffccd10fd1ff2612ad096c8fc7196ddce0b5d7ef9a4e0f81e19f87bf6eb52
Dataset\IR_trans_bmp\p3_160\p3028.bmp,p3_160,p3028.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,d8d6bd473fbd56cc9b552859623458e5570d5c5509f31e6a62ac513eb0cb6472
Dataset\IR_trans_bmp\p3_160\p3029.bmp,p3_160,p3029.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,7ff3708bc9102bce0e37d264b0cb9acaa8e8e6a1420604479e49238ccfe5caa6
Dataset\IR_trans_bmp\p3_160\p3030.bmp,p3_160,p3030.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,c3a7dbff248b8a809cff8b02e848917e8ba3b4bbdb74286db07855746c20d7d4
Dataset\IR_trans_bmp\p3_160\p3031.bmp,p3_160,p3031.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,37c7d2f37d197c5659591fa9f7f8355ba6c97427bbef891f686aeb63cd74a18b
Dataset\IR_trans_bmp\p3_160\p3032.bmp,p3_160,p3032.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,c66fa3d10afb5fe2c3abd5ce6679d80cdda4c6d51ee4f5380ba7eab611e37f4d
Dataset\IR_trans_bmp\p3_160\p3033.bmp,p3_160,p3033.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,e259bd41c8384e02ae8a11f2ed4552792cdc680c05d4cfe700225f2d2a148dbc
Dataset\IR_trans_bmp\p3_160\p3034.bmp,p3_160,p3034.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,4b0349ab99f3715eb6b71a86e973ad336311a83d3c2c365d327fdcee9cee96ea
Dataset\IR_trans_bmp\p3_160\p3035.bmp,p3_160,p3035.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,541b470829ab6fd231a6975f74787b941abc6f245ba1e31ec8b4f3750bc11e23
Dataset\IR_trans_bmp\p3_160\p3036.bmp,p3_160,p3036.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,50201039632a1ec9f4143b73d552527301c6a9bb699533a7071c9010c56c9810
Dataset\IR_trans_bmp\p3_160\p3037.bmp,p3_160,p3037.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,158d0ff2af40e0e35940f66edaa43ba7f5aed7c38f05fbc27da8713aa213fa88
Dataset\IR_trans_bmp\p3_160\p3038.bmp,p3_160,p3038.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,62de047a91f43129ea357928eeecf94a5ef8679d195e677a51019ecef87da7c7
Dataset\IR_trans_bmp\p3_160\p3039.bmp,p3_160,p3039.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,caab808f93d7a28be48bd46f9c35e67de8b682023fcf0241c13e32886e0a2bbb
Dataset\IR_trans_bmp\p3_160\p3040.bmp,p3_160,p3040.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,70c6b85ed59e92361c36b625df78c970f9d65b39b848a516577aa68d4b7c6220
Dataset\IR_trans_bmp\p3_160\p3041.bmp,p3_160,p3041.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,33ccc51d099f1ed1e0a5899bb37c9afcaf4c1bbb401088ff89f295a34441c575
Dataset\IR_trans_bmp\p3_160\p3042.bmp,p3_160,p3042.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,41864a82cff80b91797a464ffe1d92bc28fb82649d9b9d9249e645138be92e3d
Dataset\IR_trans_bmp\p3_160\p3043.bmp,p3_160,p3043.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,6219bfc047583957d88348cb516c0d8c1ae2ef1dc416f84cc6d3af68885e227e
Dataset\IR_trans_bmp\p3_160\p3044.bmp,p3_160,p3044.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,534a0ee6cb4af3fcca4c416766b7f6d0b8c4e86e7d35fdad2217320d93693670
Dataset\IR_trans_bmp\p3_160\p3045.bmp,p3_160,p3045.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,6cc5b9ddbd9d6bf4a0c67bdf52063ebf3a66463d0b644eea4a32d58f4966d58e
Dataset\IR_trans_bmp\p3_160\p3046.bmp,p3_160,p3046.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,21970042015af833aaa11f4ba96e516c76206611dc2acb8654f8ba7a781535ef
Dataset\IR_trans_bmp\p3_160\p3047.bmp,p3_160,p3047.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,39e132ef305a1b04bd3d9aedde85e8b0d71e1ddcec9d10292ace88b3c8c841cd
Dataset\IR_trans_bmp\p3_160\p3048.bmp,p3_160,p3048.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,cdc86a71307fca52ef4b6df77629062686b047750f363b565d63c9613e23bb99
Dataset\IR_trans_bmp\p3_160\p3049.bmp,p3_160,p3049.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,381dea1065136114302055c105e4de9ad48acfb818f40f95c0b15a95d4522ee2
Dataset\IR_trans_bmp\p3_160\p3050.bmp,p3_160,p3050.bmp,SC160,160,0.26666666666666666,2,320,240,RGB,bd33e45cc7e6d417f1d0901d46df356cea06132f295d1e4af41bdb7b01bc671f
