feature_set,fold,binary_accuracy,binary_precision,binary_recall,binary_specificity,binary_f1,binary_roc_auc,multiclass_balanced_accuracy,multiclass_precision_macro,multiclass_recall_macro,multiclass_f1_macro,multiclass_correct_level,multiclass_one_level,multiclass_two_or_more_levels,regression_mae_alpha,regression_rmse_alpha,regression_r2,regression_mae_turns
DINOv2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.012782992763456959,0.01746545606998641,0.9973434777442168,7.669795658074175
DINOv2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.02060398323084015,0.02784628909473013,0.9933124156873108,12.362389938504089
DINOv2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.013875597754335087,0.01889984730385662,0.9968486968705508,8.325358652601052
DINOv2,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777779,0.9814814814814815,0.9777777777777779,0.9775533108866442,0.9803921568627451,0.0196078431372549,0.0,0.012950510293050527,0.016107111485203048,0.9977039950941176,7.770306175830316
DINOv2,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9592592592592593,0.9682539682539684,0.9592592592592593,0.9590347923681257,0.9607843137254902,0.0196078431372549,0.0196078431372549,0.014848809109793769,0.01957225418918191,0.9965721104759627,8.90928546587626
DINOv2,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.016931726885776887,0.024401609876856207,0.9948145009827728,10.159036131466133
DINOv2,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777779,0.9814814814814815,0.9777777777777779,0.9775533108866442,0.9803921568627451,0.0196078431372549,0.0,0.015512290772269757,0.020613708025660493,0.9963352288835552,9.307374463361853
DINOv2,8,1.0,1.0,1.0,1.0,1.0,1.0,0.9629629629629631,0.9691358024691359,0.9629629629629631,0.9631610219845513,0.9607843137254902,0.0196078431372549,0.0196078431372549,0.015405221234739221,0.021419123339028866,0.995952592116824,9.243132740843533
DINOv2,9,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777779,0.9814814814814815,0.9777777777777779,0.9775533108866442,0.9803921568627451,0.0196078431372549,0.0,0.01255912558705199,0.01693509918266621,0.9974618752073612,7.5354753522311935
DINOv2,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.014553077703987071,0.01855643660925563,0.9969186978518821,8.731846622392244
DINOv2,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011465262197980693,0.016039446887095552,0.9977595648751872,6.879157318788415
DINOv2,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.014121518922007942,0.01786792121356727,0.9972465152667996,8.472911353204765
DINOv2,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9592592592592593,0.9682539682539684,0.9592592592592593,0.9590347923681257,0.9607843137254902,0.0196078431372549,0.0196078431372549,0.017642520183052113,0.022175948240509342,0.9956615161169343,10.585512109831267
DINOv2,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777779,0.9814814814814815,0.9777777777777779,0.9775533108866442,0.9803921568627451,0.0196078431372549,0.0,0.01671518204258938,0.023745211429736304,0.9950101261733623,10.029109225553627
DINOv2,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.015267805648005861,0.020578766348509143,0.9962104835694952,9.160683388803516
