feature_set,fold,binary_accuracy,binary_precision,binary_recall,binary_specificity,binary_f1,binary_roc_auc,multiclass_balanced_accuracy,multiclass_precision_macro,multiclass_recall_macro,multiclass_f1_macro,multiclass_correct_level,multiclass_one_level,multiclass_two_or_more_levels,regression_mae_alpha,regression_rmse_alpha,regression_r2,regression_mae_turns
DINOv2+indicadores,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.008977734787004739,0.013420208683520543,0.9984315447381078,5.386640872202843
DINOv2+indicadores,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.012967605192293003,0.017105026264791427,0.9974766231992525,7.780563115375801
DINOv2+indicadores,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.009112663671614667,0.012801508781062385,0.9985542409924025,5.4675982029688
DINOv2+indicadores,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.009052115457874493,0.011246708284946555,0.9988805921615663,5.431269274724696
DINOv2+indicadores,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01069025526382205,0.014651731630221905,0.998079019162983,6.41415315829323
DINOv2+indicadores,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.010771463829910871,0.014796956302260923,0.9980932296952306,6.4628782979465225
DINOv2+indicadores,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777779,0.9814814814814815,0.9777777777777779,0.9775533108866442,0.9803921568627451,0.0196078431372549,0.0,0.012097356230693404,0.015249539179844526,0.997994382754056,7.258413738416042
DINOv2+indicadores,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.009713834650191452,0.01361498278798048,0.9983646610409036,5.828300790114871
DINOv2+indicadores,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.009006758616179911,0.012479634385325,0.9986217080917962,5.404055169707947
DINOv2+indicadores,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00968387116244534,0.014132453220077093,0.9982127708669267,5.810322697467204
DINOv2+indicadores,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.008531695724513535,0.011650405767803046,0.9988179504002361,5.1190174347081205
DINOv2+indicadores,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01057804926753503,0.013513997703496743,0.9984249211612938,6.346829560521018
DINOv2+indicadores,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777779,0.9814814814814815,0.9777777777777779,0.9775533108866442,0.9803921568627451,0.0196078431372549,0.0,0.01119081656364732,0.015856501465035033,0.9977818631649565,6.714489938188392
DINOv2+indicadores,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01079340974863359,0.01578495095478701,0.9977949220014277,6.476045849180154
DINOv2+indicadores,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01072718250156425,0.014022912334673843,0.9982403691801497,6.43630950093855
