sample_index,fold,binary_probability,binary_prediction,multiclass_prediction,multiclass_confidence,alpha_prediction,file,folder,filename,condition,turns_short,alpha,severity_level,width,height,mode,sha256,roi_area_fraction,hot_area_fraction,visual_intensity_mean,visual_intensity_p50,visual_intensity_p90,visual_intensity_p95,visual_intensity_integrated,hotspot_centroid_x,hotspot_centroid_y,hotspot_distance_center,hotspot_dispersion,visual_intensity_skewness,relative_gradient_mean,relative_gradient_p90,visual_entropy,hot_components,largest_hot_component_fraction,hsv_hue_mean,hsv_saturation_mean,hsv_value_mean,rgb_r_hist_0,rgb_r_hist_1,rgb_r_hist_2,rgb_r_hist_3,rgb_r_hist_4,rgb_r_hist_5,rgb_r_hist_6,rgb_r_hist_7,rgb_g_hist_0,rgb_g_hist_1,rgb_g_hist_2,rgb_g_hist_3,rgb_g_hist_4,rgb_g_hist_5,rgb_g_hist_6,rgb_g_hist_7,rgb_b_hist_0,rgb_b_hist_1,rgb_b_hist_2,rgb_b_hist_3,rgb_b_hist_4,rgb_b_hist_5,rgb_b_hist_6,rgb_b_hist_7,visual_coherence
0,1,0.0018535441875021765,0,0,0.9936625833542211,0.04159397891926819,Dataset\IR_trans_bmp\p1_Noload\p1001.bmp,p1_Noload,p1001.bmp,Healthy,0,0.0,0,320,240,RGB,58f27d307e5e28f038f75d47a28528409021f6ce0103395399370a2057938778,0.4160026041666667,0.12579423456133212,0.174331396818161,0.16862745583057404,0.2235294133424759,0.23137255012989044,0.07252231597900391,0.6410813349321292,0.5943771540662468,0.16973800480704282,0.2725616590924568,0.3463163326339116,0.044494595378637314,0.11091870814561844,2.0080920818743615,22.0,0.07377382703683996,0.7362949648382944,0.9960854324640013,0.5094796573414522,1.3323734702181602,4.467119471657955,2.1817271276096277,0.0187799305142571,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.385896272183793,4.614103727816207,0.0,0.0,0.0,0.8841032791276826
6,1,0.00023777354696836154,0,0,0.9992339484157108,0.0,Dataset\IR_trans_bmp\p1_Noload\p1007.bmp,p1_Noload,p1007.bmp,Healthy,0,0.0,0,320,240,RGB,697e6c3f342c955c9ccbe7649f18cc28934dfadfd8581a54f765d88200695dfc,0.43595052083333335,0.11487112093426122,0.18338127434253693,0.1764705926179886,0.23137255012989044,0.24313725531101227,0.07994516372680664,0.6050471314156024,0.6150290054268227,0.15577731512685294,0.292521316641169,0.3668066756521527,0.05039680376648903,0.1335638165473938,2.0932273048675953,36.0,0.044472984677877005,0.7409417349532996,0.9959211162492341,0.5193014705882353,0.1307009945939488,4.999372778590843,2.777455870493713,0.09247035632149578,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8928646097786803,5.10713539022132,0.0,0.0,0.0,0.9434218695701793
11,1,0.00037978140891245445,0,0,0.9991108042676244,0.00283240344290292,Dataset\IR_trans_bmp\p1_Noload\p1012.bmp,p1_Noload,p1012.bmp,Healthy,0,0.0,0,320,240,RGB,f5dd5b31569666cb2149abcc08838526dafec2f928cd548869e1c1fa33024273,0.4337109375,0.11468371911495391,0.18237701058387756,0.1764705926179886,0.23137255012989044,0.24313725531101227,0.07909890492757161,0.5937077804596832,0.6186397975084881,0.15118382741396394,0.2945245631555843,0.3566223828151501,0.051881495863199234,0.13641196489334106,2.078523524868807,27.0,0.04314149329010177,0.7404996562936452,0.9960281671262254,0.5179808373544731,0.2461797111891681,4.925755801735267,2.74136119367138,0.08670329340418506,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97841424239695,5.0215857576030505,0.0,0.0,0.0,0.9153402856448655
14,1,0.0008743551307275882,0,0,0.9986289633680394,0.007286137890271771,Dataset\IR_trans_bmp\p1_Noload\p1015.bmp,p1_Noload,p1015.bmp,Healthy,0,0.0,0,320,240,RGB,9ad1825a44ed6d8696782307dd4a02d2b5d51696a8385a0c5c637b5e5664cf10,0.4383984375,0.12667438890373933,0.17373405396938324,0.16862745583057404,0.2235294133424759,0.23137255012989044,0.07616473515828451,0.5562239647476364,0.6208249025832102,0.133265866958444,0.2983955886408872,0.34224148387841924,0.04968678578734398,0.1305358111858368,2.062188084759814,33.0,0.04324452760699753,0.7359284981668994,0.9961543662875306,0.5086544261259192,1.4358608809290445,4.2831090914491075,2.2491906501529595,0.0318393774688883,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.600225726929817,4.399774273070183,0.0,0.0,0.0,0.8510602265784114
21,1,0.0001114442047752403,0,0,0.9995264056630144,0.0,Dataset\IR_trans_bmp\p1_Noload\p1022.bmp,p1_Noload,p1022.bmp,Healthy,0,0.0,0,320,240,RGB,eef020d2bf21502c08b87446b3176d44acb110208e3bf20f42332f68fe121cab,0.42658854166666665,0.1030462120749649,0.18300196528434753,0.1764705926179886,0.23137255012989044,0.24313725531101227,0.0780665397644043,0.6228133804483725,0.6340798993029212,0.18182559174725152,0.29811307003580295,0.38233681696045557,0.051099248230457306,0.13402357697486877,2.0928960373642855,35.0,0.03778768084976497,0.7407682621279242,0.9957722383386949,0.5189837287454044,0.09694157865820158,5.081985226787132,2.7260850985898295,0.09498809596483732,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.711189793052927,5.288810206947073,0.0,0.0,0.0,0.8092151194526183
27,1,0.9988019928918497,1,1,0.9995448249323563,0.13636160919513607,Dataset\IR_trans_bmp\p2_80\p2006.bmp,p2_80,p2006.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,8b4103d2a0516075fab0cd1e96b4bf5f907363874c81642b61f63ebc7bf20c16,0.42302083333333335,0.1238303373553312,0.14830853044986725,0.14509804546833038,0.1764705926179886,0.1882352977991104,0.06273759841918945,0.48011999684283707,0.6533548028990669,0.1546379969404042,0.2634629406149694,0.1868195435400683,0.04350714012980461,0.10653393715620041,1.6917198677623673,31.0,0.04063038660428466,0.7227579468455394,0.9966103946461397,0.4810719807942708,2.3119921201674463,5.542477222359025,0.1455306574735287,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009603545924649102,5.921201674464418,2.069194779610933,0.0,0.0,0.0,0.9438327736398769
33,1,0.9986837099896465,1,1,0.9996700198173357,0.15970245170236663,Dataset\IR_trans_bmp\p2_80\p2012.bmp,p2_80,p2012.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,e82e1c2135c3f064d37b2a970250d1f37bc9e84e78a44c4e1f1e56c6fbc02273,0.4149348958333333,0.10471647786111024,0.14660529792308807,0.14509804546833038,0.1764705926179886,0.18039216101169586,0.06083165486653646,0.5265254171990903,0.6803877822274575,0.182327589065743,0.24572918910609695,0.17360169647433135,0.04404417797923088,0.10653393715620041,1.6722330204881215,37.0,0.035836445225468354,0.7218405441198935,0.9966803457222733,0.4788489248238358,2.535789374588132,5.351241095804437,0.11296952960743088,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00778234537295635,6.1410236294599425,1.8511940251671009,0.0,0.0,0.0,0.8423567884219836
34,1,0.9997273079880391,1,1,0.9999210730525991,0.15283305290415217,Dataset\IR_trans_bmp\p2_80\p2013.bmp,p2_80,p2013.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,d018f10471b8fd6ce49f014b41d0c1ab600b5afa56c4262a7256d3d865f4b9c5,0.42015625,0.12845543572579646,0.14212770760059357,0.14509804546833038,0.16862745583057404,0.18039216101169586,0.05971584320068359,0.5554251310355339,0.6525537307930159,0.16231015349994,0.25337002986670915,0.12867808231754144,0.04398825764656067,0.10980391502380371,1.6553058888899066,47.0,0.03725052683773398,0.7193549811507071,0.9969207763671875,0.4727181827320772,3.084913846535267,4.843436221643734,0.07164993182099913,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02404859303334573,6.486674104375853,1.489277302590802,0.0,0.0,0.0,0.9242296450963341
35,1,0.9996143283521561,1,1,0.9998359628171246,0.13582593173098811,Dataset\IR_trans_bmp\p2_80\p2014.bmp,p2_80,p2014.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,edc6008f8cb207ffba63252e157c106e7213178a14605a8b0b2d5bce96c8eabd,0.4183072916666667,0.1255680757019237,0.14158163964748383,0.1411764770746231,0.16862745583057404,0.18039216101169586,0.05922463099161784,0.5577159690495213,0.6568490222939265,0.16713093333636939,0.25463070551632205,0.1337140591320464,0.044434111565351486,0.11050199717283249,1.6570760381622545,42.0,0.03806885388781672,0.7190258516279678,0.9969293930951286,0.4719387877221201,3.137396501276225,4.790387847849094,0.07221565087468095,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034115669551142376,6.620681068293594,1.3452032621552636,0.0,0.0,0.0,0.9086822042454306
36,1,0.9992773454481323,1,1,0.9998369993956027,0.13015337932487792,Dataset\IR_trans_bmp\p2_80\p2015.bmp,p2_80,p2015.bmp,SC80,80,0.13333333333333333,1,320,240,RGB,8161b6ea79cf5b638f70aff997ed60a8956d5a6a0b00550c4af371e9732e8f84,0.4213411458333333,0.13075187737569147,0.1418185532093048,0.14509804546833038,0.16862745583057404,0.18039216101169586,0.05975399017333984,0.547894021312526,0.6542070158136687,0.16147334456077186,0.25484089396569454,0.11947577796518775,0.04405389726161957,0.11091870814561844,1.678544635483362,36.0,0.05213387311103557,0.7191607938798447,0.9968659045649509,0.47221715590533087,3.091813714886121,4.835501715133348,0.07268456998053092,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03510615284773942,6.575975771810007,1.388918075342254,0.0,0.0,0.0,0.8672200767557516
