feature_set,metric,mean,std,ci95_low,ci95_high
DINOv2,binary_accuracy,1.0,0.0,1.0,1.0
DINOv2,binary_precision,1.0,0.0,1.0,1.0
DINOv2,binary_recall,1.0,0.0,1.0,1.0
DINOv2,binary_specificity,1.0,0.0,1.0,1.0
DINOv2,binary_f1,1.0,0.0,1.0,1.0
DINOv2,binary_roc_auc,1.0,0.0,1.0,1.0
DINOv2,multiclass_balanced_accuracy,0.9861728395061728,0.016472512074959984,0.9780246913580247,0.9940740740740741
DINOv2,multiclass_precision_macro,0.9887713109935332,0.013225273458927942,0.9821281599059378,0.9950617283950617
DINOv2,multiclass_recall_macro,0.9861728395061728,0.016472512074959984,0.9780246913580247,0.9940740740740741
DINOv2,multiclass_f1_macro,0.9860962566844921,0.016538075137869455,0.9779032151581172,0.9940142162364386
DINOv2,multiclass_correct_level,0.9869281045751634,0.0160097368809358,0.9790849673202615,0.9947712418300654
DINOv2,multiclass_one_level,0.009150326797385621,0.010125446656751417,0.00392156862745098,0.014379084967320259
DINOv2,multiclass_two_or_more_levels,0.00392156862745098,0.008118418345204168,0.0,0.00784313725490196
DINOv2,regression_mae_alpha,0.015015708288595827,0.002320437149045667,0.013915348619742075,0.016161734383350366
DINOv2,regression_rmse_alpha,0.02014828195305621,0.0033463894939107556,0.018583096632010666,0.021818656166283843
DINOv2,regression_r2,0.9963434531277555,0.001239226417678308,0.9957185163874216,0.9969082050577022
DINOv2,regression_mae_turns,9.009424973157495,1.3922622894274002,8.349209171845244,9.69704063001022
DINOv2+indicadores,binary_accuracy,1.0,0.0,1.0,1.0
DINOv2+indicadores,binary_precision,1.0,0.0,1.0,1.0
DINOv2+indicadores,binary_recall,1.0,0.0,1.0,1.0
DINOv2+indicadores,binary_specificity,1.0,0.0,1.0,1.0
DINOv2+indicadores,binary_f1,1.0,0.0,1.0,1.0
DINOv2+indicadores,binary_roc_auc,1.0,0.0,1.0,1.0
DINOv2+indicadores,multiclass_balanced_accuracy,0.997037037037037,0.007819239450544382,0.9925925925925926,1.0
DINOv2+indicadores,multiclass_precision_macro,0.9975308641975308,0.006516032875453663,0.9938271604938271,1.0
DINOv2+indicadores,multiclass_recall_macro,0.997037037037037,0.007819239450544382,0.9925925925925926,1.0
DINOv2+indicadores,multiclass_f1_macro,0.9970071081182194,0.007898221667216578,0.9925177702955481,1.0
DINOv2+indicadores,multiclass_correct_level,0.9973856209150327,0.006899328926950964,0.9934640522875817,1.0
DINOv2+indicadores,multiclass_one_level,0.00261437908496732,0.006899328926950949,0.0,0.006535947712418301
DINOv2+indicadores,multiclass_two_or_more_levels,0.0,0.0,0.0,0.0
DINOv2+indicadores,regression_mae_alpha,0.010259654177861576,0.0012601450472147526,0.009659506749620971,0.010870244143175316
DINOv2+indicadores,regression_rmse_alpha,0.014021834516388434,0.001614127153713275,0.013239839820389392,0.014801222576572596
DINOv2+indicadores,regression_r2,0.9982512532407525,0.00039393737606311253,0.9980584701777246,0.9984410226748058
DINOv2+indicadores,regression_mae_turns,6.1557925067169466,0.7560870283288514,5.795704049772583,6.522146485905189
