conjunto,treino,teste,retirado,n,mae_espiras
mobilenet,limpo,severidade,SC80,26,23.166024088859555
mobilenet,limpo,severidade,SC160,31,17.895009979124985
mobilenet,limpo,severidade,SC240,26,25.97224336404066
mobilenet,limpo,severidade,SC320,26,27.73243583165681
mobilenet,limpo,severidade,SC400,25,10.756581783294681
mobilenet,limpo,severidade,SC480,27,8.551716274685337
mobilenet,limpo,severidade,SC560,32,12.077494710683826
mobilenet,limpo,campanha,B,57,45.844930870491154
mobilenet,limpo,campanha,C,52,18.888934552669518
mobilenet,aumentado,severidade,SC80,26,23.20259736134456
mobilenet,aumentado,severidade,SC160,31,16.724288463592526
mobilenet,aumentado,severidade,SC240,26,15.493640899658189
mobilenet,aumentado,severidade,SC320,26,11.194831591386057
mobilenet,aumentado,severidade,SC400,25,10.443232536315929
mobilenet,aumentado,severidade,SC480,27,10.847617520226397
mobilenet,aumentado,severidade,SC560,32,9.59694340825081
mobilenet,aumentado,campanha,B,57,20.70356515415928
mobilenet,aumentado,campanha,C,52,17.860522247277775
hibrido_mb_f,limpo,severidade,SC80,26,16.23094272127015
hibrido_mb_f,limpo,severidade,SC160,31,18.90126610288305
hibrido_mb_f,limpo,severidade,SC240,26,22.24812274031016
hibrido_mb_f,limpo,severidade,SC320,26,22.891465983003837
hibrido_mb_f,limpo,severidade,SC400,25,21.350378280433702
hibrido_mb_f,limpo,severidade,SC480,27,7.03612839392805
hibrido_mb_f,limpo,severidade,SC560,32,10.531775205192506
hibrido_mb_f,limpo,campanha,B,57,45.31715610994064
hibrido_mb_f,limpo,campanha,C,52,15.953939764147183
hibrido_mb_f,aumentado,severidade,SC80,26,60.47890612828115
hibrido_mb_f,aumentado,severidade,SC160,31,20.31219453238847
hibrido_mb_f,aumentado,severidade,SC240,26,25.22484690304044
hibrido_mb_f,aumentado,severidade,SC320,26,13.971089470937471
hibrido_mb_f,aumentado,severidade,SC400,25,5.578832463934286
hibrido_mb_f,aumentado,severidade,SC480,27,3.310692568621073
hibrido_mb_f,aumentado,severidade,SC560,32,5.463298789868629
hibrido_mb_f,aumentado,campanha,B,57,56.4377384276742
hibrido_mb_f,aumentado,campanha,C,52,10.86570783922799
