conjunto,treino,perturbacao,dobra,mul_f1_macro,reg_mae_espiras
indicadores_filtrados,limpo,nenhuma,b0,1.0,6.701611792841661
indicadores_filtrados,limpo,ruido,b0,0.7028619528619529,18.74636824360265
indicadores_filtrados,limpo,desfoque,b0,1.0,9.565226281241122
indicadores_filtrados,limpo,translacao,b0,1.0,7.158414926668881
indicadores_filtrados,limpo,rotacao,b0,1.0,7.3938794966632475
indicadores_filtrados,limpo,nenhuma,b1,1.0,3.7238947818267087
indicadores_filtrados,limpo,ruido,b1,0.6917989417989419,30.167528583853926
indicadores_filtrados,limpo,desfoque,b1,1.0,9.601095529833595
indicadores_filtrados,limpo,translacao,b1,1.0,3.847935131027387
indicadores_filtrados,limpo,rotacao,b1,1.0,3.4362045378644503
indicadores_filtrados,limpo,nenhuma,b2,1.0,3.925975924304839
indicadores_filtrados,limpo,ruido,b2,0.6911764705882353,24.95278553953749
indicadores_filtrados,limpo,desfoque,b2,1.0,10.745447588479072
indicadores_filtrados,limpo,translacao,b2,1.0,5.436427211940557
indicadores_filtrados,limpo,rotacao,b2,1.0,3.8584752445228245
indicadores_filtrados,limpo,nenhuma,b3,1.0,6.8828969149669526
indicadores_filtrados,limpo,ruido,b3,0.5917571707045391,20.25614356684001
indicadores_filtrados,limpo,desfoque,b3,0.974025974025974,10.49327508124993
indicadores_filtrados,limpo,translacao,b3,1.0,7.301859619358111
indicadores_filtrados,limpo,rotacao,b3,1.0,7.530425177392359
indicadores_filtrados,limpo,nenhuma,b4,1.0,5.146287546913232
indicadores_filtrados,limpo,ruido,b4,0.6071428571428572,29.868878847720023
indicadores_filtrados,limpo,desfoque,b4,1.0,8.780269878807768
indicadores_filtrados,limpo,translacao,b4,1.0,7.599951174436886
indicadores_filtrados,limpo,rotacao,b4,1.0,5.27735670786826
indicadores_filtrados,aumentado,nenhuma,b0,1.0,6.826082860086341
indicadores_filtrados,aumentado,ruido,b0,0.9053354053354055,8.564280924527203
indicadores_filtrados,aumentado,desfoque,b0,1.0,7.622556143998229
indicadores_filtrados,aumentado,translacao,b0,1.0,7.469572921311881
indicadores_filtrados,aumentado,rotacao,b0,1.0,7.107557242180437
indicadores_filtrados,aumentado,nenhuma,b1,1.0,3.3863694900353374
indicadores_filtrados,aumentado,ruido,b1,0.9775533108866442,5.388945967777235
indicadores_filtrados,aumentado,desfoque,b1,1.0,7.247688674935404
indicadores_filtrados,aumentado,translacao,b1,1.0,3.2143888397310887
indicadores_filtrados,aumentado,rotacao,b1,1.0,3.2577211934374826
indicadores_filtrados,aumentado,nenhuma,b2,1.0,3.1863540202942287
indicadores_filtrados,aumentado,ruido,b2,0.8888888888888888,8.980876266006927
indicadores_filtrados,aumentado,desfoque,b2,1.0,6.678974261497257
indicadores_filtrados,aumentado,translacao,b2,1.0,3.5441369063523793
indicadores_filtrados,aumentado,rotacao,b2,1.0,3.094295120098741
indicadores_filtrados,aumentado,nenhuma,b3,1.0,5.516063713094287
indicadores_filtrados,aumentado,ruido,b3,0.9084175084175085,9.65955569188777
indicadores_filtrados,aumentado,desfoque,b3,1.0,7.599025318110094
indicadores_filtrados,aumentado,translacao,b3,1.0,5.693168746326761
indicadores_filtrados,aumentado,rotacao,b3,1.0,5.737985269544845
indicadores_filtrados,aumentado,nenhuma,b4,1.0,6.506547138605981
indicadores_filtrados,aumentado,ruido,b4,0.9753086419753088,9.945935521206865
indicadores_filtrados,aumentado,desfoque,b4,1.0,7.346099461225567
indicadores_filtrados,aumentado,translacao,b4,1.0,6.8146837774034354
indicadores_filtrados,aumentado,rotacao,b4,1.0,6.306641395510825
mobilenet,limpo,nenhuma,b0,0.898148148148148,7.260275802442007
mobilenet,limpo,ruido,b0,0.5465821812596006,44.36923748680524
mobilenet,limpo,desfoque,b0,0.5559446000622472,19.69292376722609
mobilenet,limpo,translacao,b0,0.9791073124406459,13.123800435236525
mobilenet,limpo,rotacao,b0,0.9563492063492064,10.4000600533826
mobilenet,limpo,nenhuma,b1,1.0,5.218822107865263
mobilenet,limpo,ruido,b1,0.7045177045177046,40.85355515663441
mobilenet,limpo,desfoque,b1,0.5598290598290598,24.899414938229782
mobilenet,limpo,translacao,b1,1.0,12.123264830846056
mobilenet,limpo,rotacao,b1,0.9500360750360751,9.05092493845866
mobilenet,limpo,nenhuma,b2,1.0,6.943890318578603
mobilenet,limpo,ruido,b2,0.6983705053880492,23.80878222231962
mobilenet,limpo,desfoque,b2,0.5905884239217573,19.554993011513538
mobilenet,limpo,translacao,b2,1.0,14.503064763789276
mobilenet,limpo,rotacao,b2,1.0,10.331258457534165
mobilenet,limpo,nenhuma,b3,1.0,9.528055726265421
mobilenet,limpo,ruido,b3,0.7787072404719464,40.438848514946145
mobilenet,limpo,desfoque,b3,0.6626984126984127,29.97148095345011
mobilenet,limpo,translacao,b3,0.9775533108866442,17.59706443669845
mobilenet,limpo,rotacao,b3,0.9566606233272901,15.508632976181653
mobilenet,limpo,nenhuma,b4,1.0,11.358643599918908
mobilenet,limpo,ruido,b4,0.6882716049382717,34.08866060023405
mobilenet,limpo,desfoque,b4,0.5529649094866487,30.039313496375573
mobilenet,limpo,translacao,b4,1.0,14.93498590527748
mobilenet,limpo,rotacao,b4,1.0,17.05048325110455
mobilenet,aumentado,nenhuma,b0,0.9791073124406459,6.441464786018647
mobilenet,aumentado,ruido,b0,0.982905982905983,18.061774734939853
