conjunto,treino,perturbacao,mul_f1_macro,reg_mae_espiras
indicadores_filtrados,limpo,nenhuma,1.0,5.2761
indicadores_filtrados,limpo,ruido,0.6569,24.7983
indicadores_filtrados,limpo,desfoque,0.9948,9.8371
indicadores_filtrados,limpo,translacao,1.0,6.2689
indicadores_filtrados,limpo,rotacao,1.0,5.4993
indicadores_filtrados,aumentado,nenhuma,1.0,5.0843
indicadores_filtrados,aumentado,ruido,0.9311,8.5079
indicadores_filtrados,aumentado,desfoque,1.0,7.2989
indicadores_filtrados,aumentado,translacao,1.0,5.3472
indicadores_filtrados,aumentado,rotacao,1.0,5.1008
mobilenet,limpo,nenhuma,0.9796,8.0619
mobilenet,limpo,ruido,0.6833,36.7118
mobilenet,limpo,desfoque,0.5844,24.8316
mobilenet,limpo,translacao,0.9913,14.4564
mobilenet,limpo,rotacao,0.9726,12.4683
mobilenet,aumentado,nenhuma,0.9958,6.7781
mobilenet,aumentado,ruido,0.9921,16.5499
mobilenet,aumentado,desfoque,0.9883,8.208
mobilenet,aumentado,translacao,0.9955,9.6429
mobilenet,aumentado,rotacao,0.9913,8.0863
hibrido_mb_f,limpo,nenhuma,0.9796,6.9081
hibrido_mb_f,limpo,ruido,0.6976,34.018
hibrido_mb_f,limpo,desfoque,0.6247,20.0849
hibrido_mb_f,limpo,translacao,0.9958,13.8555
hibrido_mb_f,limpo,rotacao,0.9796,9.8485
hibrido_mb_f,aumentado,nenhuma,1.0,4.0635
hibrido_mb_f,aumentado,ruido,0.9921,6.345
hibrido_mb_f,aumentado,desfoque,1.0,4.4574
hibrido_mb_f,aumentado,translacao,0.9955,4.8718
hibrido_mb_f,aumentado,rotacao,0.9913,4.2276
