conjunto,mae_medio,ic95_inf,ic95_sup
hibrido_inv|ridge,13.55,9.35,18.53
empilhado|media_dino_mb,14.71,11.07,19.03
hibrido|ridge,14.8,9.61,20.53
hibrido_inv|pls,16.65,8.9,26.22
hibrido_mb|ridge,17.03,12.59,21.0
hibrido|pls,17.17,8.98,27.78
mobilenet|ridge,18.02,12.78,23.33
hibrido_mb|pls,18.48,13.48,22.96
dinov2|pls,19.75,14.41,26.35
mobilenet|pls,19.9,13.11,27.23
empilhado|media_3,20.09,16.09,24.39
dinov2|ridge,21.39,15.25,27.56
hibrido_mb|gp,22.32,12.83,32.96
hibrido_mb|pca_ridge,23.13,16.21,30.35
ind_invariantes|pls,24.38,10.1,43.42
hibrido_inv|pca_ridge,24.67,13.86,36.93
mobilenet|gp,25.41,14.9,36.97
hibrido|pca_ridge,26.08,15.3,39.54
mobilenet|pca_ridge,26.14,18.4,33.52
ind_invariantes|ridge,27.33,13.3,46.4
indicadores|pca_ridge,28.45,12.49,48.03
hibrido|gp,30.19,15.47,52.21
ind_invariantes|pca_ridge,30.81,16.13,49.21
hibrido_inv|gp,31.08,15.31,54.98
dinov2|pca_ridge,33.55,22.29,46.89
indicadores|pls,33.59,17.34,52.49
indicadores|gp,35.35,16.68,55.89
dinov2|gp,38.48,19.46,68.45
indicadores|ridge,38.85,25.05,54.99
ind_invariantes|svr,40.51,17.72,70.41
ind_invariantes|gp,41.23,16.84,73.08
indicadores|svr,43.24,19.44,74.63
mobilenet|svr,53.41,27.97,87.95
hibrido_mb|svr,53.76,28.5,87.22
mobilenet|kernel_ridge,57.13,39.44,73.34
hibrido_mb|kernel_ridge,60.96,42.51,76.32
dinov2|kernel_ridge,62.38,35.74,90.22
dinov2|svr,64.27,29.74,115.22
hibrido_inv|svr,64.82,26.44,116.95
hibrido_inv|kernel_ridge,65.22,33.0,101.52
hibrido|svr,65.23,26.27,117.66
hibrido|kernel_ridge,65.32,32.6,101.44
ind_invariantes|kernel_ridge,88.62,36.24,169.48
indicadores|kernel_ridge,96.38,41.19,180.61
