conjunto,regressor,campanha_retirada,tipo,condicao,alfa_real,n_teste,alfa_previsto_medio,mae_espiras,vies_espiras,fora_dominio_fracao
indicadores|ridge,ridge,A,extrapolacao,Healthy,0.0,22,0.19477008883761762,116.86205330257057,116.86205330257057,0.8181818181818182
indicadores|ridge,ridge,B,interpolacao,SC80,0.13333333333333333,26,0.0,80.0,-80.0,1.0
indicadores|ridge,ridge,B,interpolacao,SC160,0.26666666666666666,31,0.20235802753367083,38.58518347979747,-38.58518347979747,0.967741935483871
indicadores|ridge,ridge,C,interpolacao,SC240,0.4,26,0.5183958900387613,71.03753402325671,71.03753402325671,1.0
indicadores|ridge,ridge,C,interpolacao,SC320,0.5333333333333333,26,0.5854406079810416,31.264364788624963,31.264364788624963,1.0
indicadores|ridge,ridge,D,extrapolacao,SC400,0.6666666666666666,25,0.0,400.00000000000006,-400.00000000000006,1.0
indicadores|ridge,ridge,D,extrapolacao,SC480,0.8,27,0.0,480.0000000000001,-480.0000000000001,1.0
indicadores|ridge,ridge,D,extrapolacao,SC560,0.9333333333333333,32,0.0,560.0,-560.0,1.0
indicadores|ridge,ridge,D,extrapolacao,SC600,1.0,40,0.0,600.0,-600.0,1.0
indicadores|pls,pls,A,extrapolacao,Healthy,0.0,22,0.20428966427653414,122.57379856592048,122.57379856592048,0.8181818181818182
indicadores|pls,pls,B,interpolacao,SC80,0.13333333333333333,26,0.0,80.0,-80.0,1.0
indicadores|pls,pls,B,interpolacao,SC160,0.26666666666666666,31,0.1741137109934015,55.5317734039591,-55.5317734039591,0.967741935483871
indicadores|pls,pls,C,interpolacao,SC240,0.4,26,0.454746080529811,32.84764831788661,32.84764831788661,1.0
indicadores|pls,pls,C,interpolacao,SC320,0.5333333333333333,26,0.5434090864314609,11.246872773311285,6.045451858876559,1.0
indicadores|pls,pls,D,extrapolacao,SC400,0.6666666666666666,25,0.4295629401269289,142.26223592384258,-142.26223592384258,1.0
indicadores|pls,pls,D,extrapolacao,SC480,0.8,27,0.5440045430118752,153.59727419287492,-153.59727419287492,1.0
indicadores|pls,pls,D,extrapolacao,SC560,0.9333333333333333,32,0.6738407916076149,155.69552503543107,-155.69552503543107,1.0
indicadores|pls,pls,D,extrapolacao,SC600,1.0,40,0.7608452454158209,143.4928527505075,-143.4928527505075,1.0
