conjunto,mae_interp,pior_interp,nivel_correto,cobertura_90,meia_largura_espiras,mae_campanha_BC
hibrido_inv|ridge,13.553,26.543,0.995,0.907,35.568,32.865
empilhado|media_dino_mb,14.709,25.82,0.984,0.847,29.899,19.494
hibrido|ridge,14.798,25.828,0.973,0.907,37.213,33.583
hibrido_inv|pls,16.649,42.453,0.907,0.848,36.796,30.9
hibrido_mb|ridge,17.027,22.891,0.981,0.929,37.111,31.309
hibrido|pls,17.168,46.19,0.902,0.854,36.779,44.588
mobilenet|ridge,18.022,27.732,0.921,0.91,38.969,32.985
hibrido_mb|pls,18.481,26.611,0.97,0.942,40.578,29.531
dinov2|pls,19.755,37.487,0.853,0.877,47.234,58.803
mobilenet|pls,19.897,35.528,0.902,0.835,37.8,32.176
empilhado|media_3,20.095,29.702,0.97,0.956,44.021,38.933
dinov2|ridge,21.385,34.537,0.851,0.841,44.191,39.551
hibrido_mb|gp,22.319,47.495,0.826,0.859,49.774,31.115
hibrido_mb|pca_ridge,23.128,39.159,0.834,0.844,44.641,38.346
ind_invariantes|pls,24.377,77.139,0.834,0.857,73.285,41.683
hibrido_inv|pca_ridge,24.673,52.247,0.803,0.868,57.62,48.198
mobilenet|gp,25.41,49.471,0.748,0.787,51.536,29.256
hibrido|pca_ridge,26.08,56.038,0.771,0.857,60.212,49.377
mobilenet|pca_ridge,26.14,40.805,0.792,0.778,47.561,40.397
ind_invariantes|ridge,27.331,80.0,0.84,0.857,71.603,58.397
indicadores|pca_ridge,28.452,80.0,0.732,0.857,74.117,54.13
hibrido|gp,30.185,92.057,0.768,0.853,76.934,48.829
ind_invariantes|pca_ridge,30.809,80.0,0.792,0.857,72.758,53.651
hibrido_inv|gp,31.079,99.369,0.779,0.853,81.398,50.117
dinov2|pca_ridge,33.549,65.368,0.656,0.875,64.544,60.535
indicadores|pls,33.592,80.0,0.689,0.857,77.131,45.394
indicadores|gp,35.351,83.346,0.572,0.857,68.947,26.616
dinov2|gp,38.483,123.763,0.697,0.857,105.664,70.607
indicadores|ridge,38.848,80.0,0.56,0.857,74.119,54.459
ind_invariantes|svr,40.51,118.266,0.605,0.852,106.619,38.159
ind_invariantes|gp,41.225,125.763,0.676,0.857,109.226,17.101
indicadores|svr,43.241,125.042,0.659,0.857,114.429,38.557
mobilenet|svr,53.406,144.98,0.516,0.93,137.349,96.212
hibrido_mb|svr,53.762,143.723,0.524,0.93,135.165,95.113
mobilenet|kernel_ridge,57.129,86.594,0.383,0.923,129.181,110.947
hibrido_mb|kernel_ridge,60.962,83.725,0.336,0.923,131.344,109.078
dinov2|kernel_ridge,62.38,116.008,0.422,0.862,149.623,65.309
dinov2|svr,64.275,203.773,0.45,0.857,194.585,119.124
hibrido_inv|svr,64.818,208.777,0.513,0.857,198.699,113.362
hibrido_inv|kernel_ridge,65.219,149.531,0.433,0.829,155.875,59.016
hibrido|svr,65.227,208.412,0.503,0.857,198.196,113.298
hibrido|kernel_ridge,65.32,148.453,0.432,0.829,156.348,58.737
ind_invariantes|kernel_ridge,88.62,318.008,0.304,0.857,296.944,50.645
indicadores|kernel_ridge,96.379,332.66,0.348,0.857,290.172,50.283
