conjunto,condicao_retirada,alfa_real,n_teste,ridge_alpha,alfa_previsto_medio,alfa_previsto_dp,mae_alfa,rmse_alfa,mae_espiras,vies_alfa,nivel_mais_proximo_correto,fora_dominio_fracao
trivial,SC80,0.13333333333333333,26,0.1,0.07734092815208155,0.020575129059797356,0.055992405181251786,0.05951641137056918,33.59544310875107,-0.055992405181251786,0.7692307692307693,0.15384615384615385
trivial,SC160,0.26666666666666666,31,10.0,0.23496016993702445,0.009313193032922749,0.031706496729642236,0.03300362976856981,19.02389803778534,-0.031706496729642236,1.0,0.0
trivial,SC240,0.4,26,100.0,0.50127318727619,0.007997045442282582,0.10127318727618986,0.10157633324882444,60.76391236571392,0.10127318727618986,0.0,0.0
trivial,SC320,0.5333333333333333,26,0.1,0.5206411827222268,0.051437872032960075,0.02577962406408011,0.052011361498267385,15.467774438448066,-0.012692150611106548,0.9230769230769231,0.038461538461538464
trivial,SC400,0.6666666666666666,25,0.1,0.6170941726488589,0.04080983020265686,0.05330246346116667,0.06368874872902182,31.9814780767,-0.049572494017807715,0.64,1.0
trivial,SC480,0.8,27,0.1,0.7134876411701248,0.010664265786386028,0.0865123588298753,0.08714300144062387,51.90741529792518,-0.0865123588298753,0.037037037037037035,0.14814814814814814
trivial,SC560,0.9333333333333333,32,0.1,0.9840836054596247,0.015997122260431526,0.050750272126291365,0.05313662502444613,30.45016327577482,0.050750272126291365,0.09375,0.09375
posicao,SC80,0.13333333333333333,26,10.0,0.27311736681426024,0.16478568567153265,0.14920451382674427,0.21365743893123804,89.52270829604656,0.13978403348092694,0.5,0.038461538461538464
posicao,SC160,0.26666666666666666,31,10.0,0.33488448819951033,0.1442247835118969,0.15177389707051528,0.15742765381810847,91.06433824230916,0.06821782153284373,0.0,0.0
posicao,SC240,0.4,26,1.0,0.6293068740637383,0.11239051069907753,0.22930687406373818,0.25441587526021453,137.5841244382429,0.22930687406373818,0.07692307692307693,0.038461538461538464
posicao,SC320,0.5333333333333333,26,1.0,0.748696248020906,0.1103322151481165,0.2153629146875726,0.2410107524794238,129.21774881254356,0.2153629146875726,0.15384615384615385,0.07692307692307693
