conjunto,regressor,condicao_retirada,alfa_real,n_teste,ridge_alpha,alfa_previsto_medio,alfa_previsto_dp,mae_alfa,rmse_alfa,mae_pontos_percentuais,vies_alfa,nivel_mais_proximo_correto,fora_dominio_fracao,conformal_meia_largura,conformal_cobertura
trivial,ridge,A10,0.0333,34,10.0,0.067,0.0034,0.0337,0.0339,3.3688,0.0337,0.0,0.0,0.1788,1.0
trivial,ridge,A&C10,0.0667,31,10.0,0.0507,0.0021,0.0159,0.0161,1.5943,-0.0159,0.6129,0.0,0.1768,1.0
trivial,ridge,A&C&B10,0.1,31,10.0,0.0829,0.016,0.0171,0.0232,1.7086,-0.0171,0.0,0.0,0.178,1.0
trivial,ridge,A30,0.1,37,1.0,0.1113,0.0062,0.0113,0.0128,1.1278,0.0113,0.0,0.0,0.1684,1.0
trivial,ridge,A50,0.1667,35,100.0,0.3418,0.0165,0.1752,0.1759,17.5173,0.1752,0.0,0.0,0.0709,0.0
trivial,ridge,A&C30,0.2,38,100.0,0.1168,0.0029,0.0832,0.0832,8.3171,-0.0832,0.0,0.0,0.1178,1.0
trivial,ridge,A&C&B30,0.3,42,10.0,0.3852,0.0282,0.0852,0.0896,8.5182,0.0852,0.0,0.0714,0.1309,0.9286
posicao,ridge,A10,0.0333,34,100.0,0.0631,0.0152,0.0304,0.0333,3.0441,0.0297,0.2059,0.0,0.0904,1.0
posicao,ridge,A&C10,0.0667,31,100.0,0.0429,0.0082,0.0238,0.0251,2.3767,-0.0238,0.1935,0.0,0.0899,1.0
posicao,ridge,A&C&B10,0.1,31,100.0,0.1034,0.011,0.0074,0.0113,0.7373,0.0034,0.5484,0.0,0.0917,1.0
posicao,ridge,A30,0.1,37,100.0,0.1064,0.0111,0.0086,0.0127,0.864,0.0064,0.2432,0.0,0.0924,1.0
posicao,ridge,A50,0.1667,35,100.0,0.2508,0.0034,0.0841,0.0842,8.4144,0.0841,0.0,0.0,0.0691,0.0
posicao,ridge,A&C30,0.2,38,100.0,0.2211,0.0107,0.0215,0.0235,2.1502,0.0211,1.0,0.0,0.1038,1.0
posicao,ridge,A&C&B30,0.3,42,100.0,0.2116,0.0095,0.0884,0.0889,8.837,-0.0884,0.0,0.0,0.0659,0.0
indicadores,ridge,A10,0.0333,34,100.0,0.0793,0.0119,0.0459,0.0474,4.5927,0.0459,0.0,1.0,0.1063,1.0
indicadores,ridge,A&C10,0.0667,31,100.0,0.0534,0.0071,0.0133,0.015,1.3314,-0.0133,0.6452,1.0,0.1041,1.0
indicadores,ridge,A&C&B10,0.1,31,100.0,0.0579,0.005,0.0421,0.0424,4.2074,-0.0421,0.0,0.0323,0.1048,1.0
indicadores,ridge,A30,0.1,37,100.0,0.0185,0.0117,0.0815,0.0823,8.1513,-0.0815,0.0,0.6757,0.1041,1.0
indicadores,ridge,A50,0.1667,35,100.0,0.2728,0.0062,0.1061,0.1063,10.6131,0.1061,0.0,1.0,0.0804,0.0
indicadores,ridge,A&C30,0.2,38,100.0,0.1626,0.0077,0.0374,0.0382,3.7404,-0.0374,0.0,1.0,0.101,1.0
indicadores,ridge,A&C&B30,0.3,42,10.0,0.2981,0.0347,0.0274,0.0343,2.7371,-0.0019,0.5714,1.0,0.2001,1.0
mobilenet,ridge,A10,0.0333,34,100.0,0.0715,0.0047,0.0382,0.0385,3.8209,0.0382,0.0,0.0,0.101,1.0
mobilenet,ridge,A&C10,0.0667,31,100.0,0.0377,0.0077,0.0289,0.0299,2.8929,-0.0289,0.0968,0.0,0.0979,1.0
mobilenet,ridge,A&C&B10,0.1,31,100.0,0.0829,0.0261,0.0186,0.0309,1.8627,-0.0171,0.2258,0.0,0.1002,1.0
mobilenet,ridge,A30,0.1,37,100.0,0.0829,0.0093,0.0171,0.0194,1.7089,-0.0171,0.4595,0.0,0.0997,1.0
mobilenet,ridge,A50,0.1667,35,100.0,0.2678,0.0104,0.1011,0.1017,10.1142,0.1011,0.0,0.6857,0.0444,0.0
mobilenet,ridge,A&C30,0.2,38,100.0,0.151,0.0199,0.049,0.0528,4.8976,-0.049,0.0,1.0,0.0908,0.9737
mobilenet,ridge,A&C&B30,0.3,42,100.0,0.2681,0.0116,0.0319,0.0339,3.1906,-0.0319,0.9524,0.2381,0.103,1.0
hibrido_mb,ridge,A10,0.0333,34,100.0,0.0743,0.0046,0.0409,0.0412,4.092,0.0409,0.0,0.0,0.1065,1.0
hibrido_mb,ridge,A&C10,0.0667,31,100.0,0.0368,0.0087,0.0299,0.0311,2.9868,-0.0299,0.0968,0.0,0.1047,1.0
hibrido_mb,ridge,A&C&B10,0.1,31,100.0,0.0836,0.0263,0.0181,0.0307,1.8122,-0.0164,0.2903,0.0,0.1056,1.0
hibrido_mb,ridge,A30,0.1,37,100.0,0.0634,0.0096,0.0366,0.0378,3.6636,-0.0366,0.0,0.0,0.1,1.0
hibrido_mb,ridge,A50,0.1667,35,100.0,0.2734,0.0101,0.1067,0.1072,10.6713,0.1067,0.0,0.8286,0.0466,0.0
hibrido_mb,ridge,A&C30,0.2,38,100.0,0.1587,0.0197,0.0413,0.0456,4.1266,-0.0413,0.0526,1.0,0.0974,1.0
hibrido_mb,ridge,A&C&B30,0.3,42,100.0,0.2661,0.0169,0.0339,0.0378,3.3895,-0.0339,0.8095,0.5952,0.1337,1.0
