indice,dobra,prob_defeito,nivel_previsto,confianca_classificador,alfa_previsto,alfa_inferior,alfa_superior,score_dominio,coerencia_visual,arquivo,condicao,alfa,campanha
0,b0,0.044208245300355026,0,0.8544007664944668,0.032551655826542736,0.0025545662069587083,0.06254874544612676,1.0976186616454209,0.8272605055204053,p1001.bmp,Healthy,0.0,A
1,b0,0.018768342790424233,0,0.9459833877852241,0.0031072488909431595,0.0,0.03310433851052719,0.6617540643929237,0.9091012024626448,p1002.bmp,Healthy,0.0,A
2,b0,0.028758299371146313,0,0.9272685511985981,0.0,0.0,0.029997089619584028,0.6054163623384982,0.8812977269784807,p1003.bmp,Healthy,0.0,A
3,b0,0.007991442255400874,0,0.9730647528741914,0.0,0.0,0.029997089619584028,0.5447368175502519,0.877033905734173,p1004.bmp,Healthy,0.0,A
4,b0,0.012164948565324041,0,0.9601033370657311,0.0,0.0,0.029997089619584028,0.48803744845207137,0.8623981951149992,p1005.bmp,Healthy,0.0,A
5,b1,0.02465339828912934,0,0.9903752938679449,0.0,0.0,0.03385174245518208,0.501729714498501,0.9281492520420468,p1006.bmp,Healthy,0.0,A
6,b1,0.01595655294947841,0,0.9934471519191388,0.0,0.0,0.03385174245518208,0.5181463920405094,0.9462835233850174,p1007.bmp,Healthy,0.0,A
7,b1,0.01585810582063147,0,0.9919087567659305,0.01033158436238224,0.0,0.04418332681756432,0.5790473826515685,0.8620045281402552,p1008.bmp,Healthy,0.0,A
8,b1,0.012883184751571996,0,0.995348956969215,0.013120232657692799,0.0,0.046971975112874875,0.5336432121352042,0.9301320966474939,p1009.bmp,Healthy,0.0,A
9,b1,0.021710117013056772,0,0.9917434174336323,0.020553583166544875,0.0,0.05440532562172695,0.6289877680247136,0.8380051177833332,p1010.bmp,Healthy,0.0,A
10,b2,0.03410791981185456,0,0.9878984475519614,0.021446690187056805,0.0,0.04859052306364153,0.6608237140832267,0.8376833443068835,p1011.bmp,Healthy,0.0,A
11,b2,0.022145568740987907,0,0.9906105363601583,0.017711313903530868,0.0,0.044855146780115596,0.48308251342805303,0.9358257903091444,p1012.bmp,Healthy,0.0,A
12,b2,0.024252805290531095,0,0.9903690087163977,0.01267003572217229,0.0,0.03981386859875702,0.4535194703656386,0.879256993547262,p1013.bmp,Healthy,0.0,A
13,b2,0.01698599765266982,0,0.9922183964613651,0.004924031752956526,0.0,0.032067864629541254,0.6167268242930801,0.8299704168691531,p1014.bmp,Healthy,0.0,A
14,b3,0.031753916605893356,0,0.9868619649831678,0.003120861376504691,0.0,0.029603944391474513,0.544669122691761,0.7674242256132335,p1015.bmp,Healthy,0.0,A
15,b3,0.06473118421167605,0,0.9629699898987408,0.02224721806521479,0.0,0.04873030108018461,0.9816686457262926,0.8925994605170012,p1016.bmp,Healthy,0.0,A
16,b3,0.04122339489296437,0,0.9622105821818953,0.0,0.0,0.02648308301496982,1.06550626012789,0.8424791288956768,p1017.bmp,Healthy,0.0,A
17,b3,0.029091633404369596,0,0.984043793755666,0.030840233318297106,0.004357150303327284,0.05732331633326693,0.6529061122878368,0.8668039412116071,p1018.bmp,Healthy,0.0,A
18,b4,0.025366263236329987,0,0.9283121957118535,0.02040504318334524,0.0,0.047021596896964835,0.6790283343321464,0.8678664345559552,p1019.bmp,Healthy,0.0,A
19,b4,0.03829786618682867,0,0.9093015314459651,0.0020398364549253367,0.0,0.028656390168544932,0.6077494489510562,0.7871478009445031,p1020.bmp,Healthy,0.0,A
20,b4,0.018333908719866596,0,0.9471043946106873,0.008265713026005872,0.0,0.03488226673962547,0.6415841815993586,0.8139390238026926,p1021.bmp,Healthy,0.0,A
21,b4,0.009721975239428969,0,0.9658814557423575,0.0,0.0,0.026616553713619595,0.694761050786902,0.7938975970110316,p1022.bmp,Healthy,0.0,A
22,b0,0.9156783423071827,1,0.9087065061997972,0.12726470381646837,0.09726761419688434,0.1572617934360524,0.9429398956422178,0.7509240832430939,p2001.bmp,SC80,0.13333333333333333,B
23,b0,0.8867263090079293,1,0.8895722588390732,0.14783340896964753,0.1178363193500635,0.17783049858923156,1.0439039517723443,0.8176484400127025,p2002.bmp,SC80,0.13333333333333333,B
24,b0,0.8766018844070472,1,0.8563076335866344,0.11633338631353635,0.08633629669395232,0.14633047593312037,0.8744412542918392,0.8062520155520303,p2003.bmp,SC80,0.13333333333333333,B
25,b0,0.8852162931550438,1,0.7570437041568696,0.1676601898273643,0.13766310020778028,0.19765727944694833,0.9048694523696174,0.8884619584182658,p2004.bmp,SC80,0.13333333333333333,B
26,b0,0.9315851964600286,1,0.9417084078894049,0.14748044257663862,0.11748335295705459,0.17747753219622264,0.7147494456229504,0.9185980439476924,p2005.bmp,SC80,0.13333333333333333,B
27,b0,0.9365816750575647,1,0.94439493937493,0.131419548641327,0.10142245902174296,0.16141663826091102,0.7231950461268886,0.9085441663439434,p2006.bmp,SC80,0.13333333333333333,B
28,b1,0.9609803263554674,1,0.9953883895203273,0.11276377320557213,0.07891203075039005,0.1466155156607542,0.6494767454999645,0.7829766740715078,p2007.bmp,SC80,0.13333333333333333,B
29,b1,0.9555241106077613,1,0.9956209987833358,0.12972894595852236,0.09587720350334028,0.16358068841370443,0.6274980684330883,0.7858336102159978,p2008.bmp,SC80,0.13333333333333333,B
30,b1,0.9339812583679162,1,0.9773231957402484,0.12493982086590905,0.09108807841072697,0.15879156332109112,0.7971706608519765,0.7681820171244375,p2009.bmp,SC80,0.13333333333333333,B
31,b1,0.912137553633267,1,0.9836454779517053,0.11321279642801402,0.07936105397283194,0.1470645388831961,0.6972844421239711,0.8032659392089351,p2010.bmp,SC80,0.13333333333333333,B
32,b1,0.9615649782856448,1,0.9967880072755748,0.1101099148643973,0.07625817240921523,0.14396165731957938,0.6164621449281209,0.9724034610026053,p2011.bmp,SC80,0.13333333333333333,B
33,b2,0.9411338980057508,1,0.9961776567710346,0.15628076768830712,0.1291369348117224,0.18342460056489185,0.6263076694769545,0.8015371278140816,p2012.bmp,SC80,0.13333333333333333,B
34,b2,0.9690560958157983,1,0.9986054052402407,0.1556389139620098,0.12849508108542507,0.18278274683859452,0.6819006139849798,0.8876319084912636,p2013.bmp,SC80,0.13333333333333333,B
35,b2,0.9639352384919715,1,0.9973645635328992,0.13178790992171963,0.1046440770451349,0.15893174279830435,0.8207475888675797,0.880930188577788,p2014.bmp,SC80,0.13333333333333333,B
36,b2,0.949988213161892,1,0.9976244975366559,0.14106917302369737,0.11392534014711264,0.1682130059002821,0.6368907061493791,0.8749098272943284,p2015.bmp,SC80,0.13333333333333333,B
37,b2,0.9429312636658106,1,0.9974062001096379,0.11649239189912197,0.08934855902253724,0.1436362247757067,0.7227574576462676,0.8709775465566969,p2016.bmp,SC80,0.13333333333333333,B
38,b3,0.9829428917987966,1,0.9967193931213707,0.12089972928069692,0.0944166462657271,0.14738281229566674,0.6397167857545899,0.845042405649983,p2017.bmp,SC80,0.13333333333333333,B
39,b3,0.9585816509885736,1,0.9929979709792149,0.10296092630374498,0.07647784328877516,0.1294440093187148,0.7885068198307196,0.8560454067726958,p2018.bmp,SC80,0.13333333333333333,B
