conjunto,esquema,bin_acuracia,bin_precisao,bin_recall,bin_especificidade,bin_f1,bin_roc_auc,bin_saudaveis_no_teste,mul_acuracia_balanceada,mul_f1_macro,mul_nivel_correto,mul_erro_um_nivel,mul_erro_dois_ou_mais,reg_mae_alfa,reg_rmse_alfa,reg_r2,reg_mae_espiras,reg_vies_alfa,reg_nivel_mais_proximo_correto,conformal_meia_largura,conformal_cobertura,fora_dominio_fracao,bin_acuracia_dp,bin_precisao_dp,bin_recall_dp,bin_especificidade_dp,bin_f1_dp,bin_roc_auc_dp,bin_saudaveis_no_teste_dp,mul_acuracia_balanceada_dp,mul_f1_macro_dp,mul_nivel_correto_dp,mul_erro_um_nivel_dp,mul_erro_dois_ou_mais_dp,reg_mae_alfa_dp,reg_rmse_alfa_dp,reg_r2_dp,reg_mae_espiras_dp,reg_vies_alfa_dp,reg_nivel_mais_proximo_correto_dp,conformal_meia_largura_dp,conformal_cobertura_dp,fora_dominio_fracao_dp
trivial,aleatoria,1.0,1.0,1.0,1.0,1.0,1.0,4.4,0.991851851851852,0.9914702581369248,0.9921568627450981,0.00392156862745098,0.00392156862745098,0.012754239846044225,0.021531952468851576,0.9956110335913563,7.6525439076265345,-0.00014553322859433654,0.972549019607843,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5477225575051663,0.011233889546743005,0.011706760772530026,0.010739657990297415,0.00876889402941094,0.00876889402941094,0.000837592952629282,0.006774926185865012,0.003038546615274391,0.5025557715775687,0.002456985767589234,0.010739657990297337,,,
trivial,blocos,1.0,1.0,1.0,1.0,1.0,1.0,4.4,0.9757407407407408,0.9735767935767935,0.9755102040816327,0.02040816326530612,0.004081632653061224,0.016335263550790614,0.02370964717982798,0.9939293482023904,9.801158130474368,-4.707152394724805e-05,0.9428571428571428,0.040561731784207834,0.8862244897959183,0.024489795918367346,0.0,0.0,0.0,0.0,0.0,0.0,0.5477225575051663,0.044619639269102146,0.04858481885968994,0.04424384365036492,0.03534797566467096,0.009126808071427713,0.008794861859425192,0.012507170940755624,0.005819068534944358,5.276917115655115,0.0030137159111261742,0.07272869257634879,0.007161894017757668,0.18990629333936224,0.054760848428566274
posicao,aleatoria,0.8901960784313726,0.9953488372093023,0.8840888066604995,0.96,0.9361851829598029,0.9450878815911194,4.4,0.613994708994709,0.6049299066946126,0.6313725490196079,0.11372549019607843,0.2549019607843137,0.15194029954446853,0.19348250171411002,0.6694909627040032,91.16417972668111,-0.00032668425963938637,0.20784313725490197,,,,0.017537788058821915,0.010400316174417643,0.024864412593593465,0.08944271909999157,0.011593255943235804,0.01971139758584953,0.5477225575051663,0.10484022178174073,0.11184154684780337,0.09645783432352036,0.0578348282500103,0.04999038738816455,0.003824109586291538,0.012923867103307608,0.046315659904690214,2.2944657517749234,0.014891947850315924,0.04295863196118951,,,
posicao,blocos,0.8770015698587127,0.9947368421052631,0.870182172159644,0.95,0.9274784988205165,0.940258656654151,4.4,0.5116666666666666,0.49934780542623675,0.5401098901098902,0.13320251177394032,0.32668759811616954,0.15153982027726273,0.18494783666426046,0.6940293333025759,90.92389216635765,0.007979513425432235,0.2249215070643642,0.29522832408113925,0.9280612244897959,0.044897959183673466,0.06164419599993061,0.011768778828946242,0.06192511548993343,0.11180339887498947,0.03756913834259351,0.07169152920006483,0.5477225575051663,0.10915601666072758,0.13094663406692844,0.09876254903730285,0.0654261101867319,0.08315834777649264,0.014752265359925751,0.026336271026515912,0.08851488312201022,8.851359215955457,0.009347134407081473,0.043573831653135726,0.027446822436194313,0.06750329715673449,0.08942409102125161
indicadores_v1,aleatoria,1.0,1.0,1.0,1.0,1.0,1.0,4.4,0.9944444444444445,0.9951159951159951,0.996078431372549,0.00392156862745098,0.0,0.007802536006549667,0.011262747968570666,0.9988283795239932,4.6815216039297995,-0.00025397135662338477,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5477225575051663,0.012422599874998823,0.010920966923075849,0.00876889402941096,0.00876889402941094,0.0,0.0018341775006727402,0.0027644615816966715,0.000559422358368336,1.100506500403644,0.002301992284053381,0.0,,,
indicadores_v1,blocos,0.992072213500785,0.9956521739130434,0.9957446808510639,0.95,0.9956516601677892,1.0,4.4,0.9944444444444445,0.9948051948051948,0.9959183673469388,0.004081632653061224,0.0,0.009178416847940836,0.01300377911667735,0.9983630075553347,5.507050108764501,0.00032704526278735187,1.0,0.022194229015716972,0.9,0.04897959183673469,0.01086354706328473,0.00972203468478168,0.009515182882977835,0.11180339887498948,0.005954795734528647,0.0,0.5477225575051663,0.012422599874998842,0.011615937545453444,0.00912680807142773,0.009126808071427713,0.0,0.0028414581643475493,0.004532723780926494,0.001022457099460352,1.7048748986085294,0.0035179152715190238,0.0,0.0029799613504579805,0.09691191894354095,0.09851035417262996
indicadores,aleatoria,1.0,1.0,1.0,1.0,1.0,1.0,4.4,1.0,1.0,1.0,0.0,0.0,0.00671461958041306,0.010485293001026045,0.9989674919121742,4.028771748247836,-0.00028940700248498015,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5477225575051663,0.0,0.0,0.0,0.0,0.0,0.001982964999864996,0.0029482717824404103,0.0005326531484308235,1.1897789999189972,0.002370795560082853,0.0,,,
indicadores,blocos,0.9918367346938777,0.9956521739130434,0.9955555555555555,0.95,0.9955550067909618,1.0,4.4,1.0,1.0,1.0,0.0,0.0,0.008793555653617799,0.013206214416113355,0.9983297112993595,5.276133392170679,0.00038475500420640494,0.9928571428571429,0.021866144102852453,0.900706436420722,0.03673469387755102,0.011178011377656488,0.00972203468478168,0.009938079899999073,0.11180339887498948,0.006087183778216322,0.0,0.5477225575051663,0.0,0.0,0.0,0.0,0.0,0.002480886311713922,0.004350317551815016,0.001075170855357527,1.4885317870283532,0.00419325136952399,0.015971914124998456,0.004420875124418947,0.08711301453639071,0.07128264978193052
mobilenet,aleatoria,1.0,1.0,1.0,1.0,1.0,1.0,4.4,1.0,1.0,1.0,0.0,0.0,0.010488111855936986,0.01476965249808786,0.9980577078771045,6.292867113562191,7.45993891572603e-05,0.996078431372549,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5477225575051663,0.0,0.0,0.0,0.0,0.0,0.0009938983777621898,0.0018827434772106747,0.000492268348732496,0.5963390266573139,0.0028396684984083576,0.008768894029410963,,,
mobilenet,blocos,1.0,1.0,1.0,1.0,1.0,1.0,4.4,0.9822222222222223,0.9796296296296296,0.9857142857142858,0.014285714285714285,0.0,0.013436562518356735,0.01871214774778083,0.9967122227117798,8.06193751101404,0.00023669056457913907,0.9806122448979592,0.032105364402135225,0.8992150706436421,0.03673469387755102,0.0,0.0,0.0,0.0,0.0,0.0,0.5477225575051663,0.03975231959999632,0.04554953287499579,0.031943828249997,0.031943828249996996,0.0,0.003995984953053185,0.005308181568382232,0.0017945822880846495,2.397590971831911,0.0029761664905015956,0.02803802380415116,0.0041006115534546125,0.10990531684419515,0.05081591672648462
